Np,EAR_inf,EAR_1024,EAR_512,EAR_perfect
1.300000000000000000e+01,1.894081115722656250e+01,1.870035164058208466e+01,1.845989212393760681e+01,2.099831485748291016e+01
3.000000000000000000e+01,1.894909954071044922e+01,1.839395014010369778e+01,1.783880073949694633e+01,2.099831485748291016e+01
4.800000000000000000e+01,1.896765613555908203e+01,1.807854725420475006e+01,1.718943837285041809e+01,2.099831485748291016e+01
6.500000000000000000e+01,1.896724891662597656e+01,1.776327315531671047e+01,1.655929739400744438e+01,2.099831485748291016e+01
8.200000000000000000e+01,1.896841812133789062e+01,1.744946276396512985e+01,1.593050740659236908e+01,2.099831485748291016e+01
1.000000000000000000e+02,1.897228908538818359e+01,1.711952647939324379e+01,1.526676387339830399e+01,2.099831485748291016e+01
1.170000000000000000e+02,1.896904754638671875e+01,1.680168566852807999e+01,1.463432379066944122e+01,2.099831485748291016e+01
1.340000000000000000e+02,1.897081661224365234e+01,1.648830740712583065e+01,1.400579820200800896e+01,2.099831485748291016e+01
1.520000000000000000e+02,1.897642803192138672e+01,1.615961449593305588e+01,1.334280095994472504e+01,2.099831485748291016e+01
1.690000000000000000e+02,1.897952938079833984e+01,1.584716564510017633e+01,1.271480190940201283e+01,2.099831485748291016e+01
1.870000000000000000e+02,1.897214603424072266e+01,1.550750608462840319e+01,1.204286613501608372e+01,2.099831485748291016e+01
2.040000000000000000e+02,1.897875785827636719e+01,1.519783344119787216e+01,1.141690902411937714e+01,2.099831485748291016e+01
2.210000000000000000e+02,1.897493362426757812e+01,1.487975751981139183e+01,1.078458141535520554e+01,2.099831485748291016e+01
2.390000000000000000e+02,1.896817302703857422e+01,1.454103108029812574e+01,1.011388913355767727e+01,2.099831485748291016e+01
2.560000000000000000e+02,1.897623443603515625e+01,1.423217582702636719e+01,9.488117218017578125e+00,2.099831485748291016e+01
