rho,NMSE_dB
5.078125000000000000e-02,-1.427035779217236744e+01
1.015625000000000000e-01,-1.483196487064857294e+01
1.484375000000000000e-01,-1.494612827243683562e+01
1.992187500000000000e-01,-1.494904294054756022e+01
2.500000000000000000e-01,-1.505860303084539176e+01
3.007812500000000000e-01,-1.505368147488310093e+01
3.515625000000000000e-01,-1.508429561384777884e+01
3.984375000000000000e-01,-1.512016229482605567e+01
4.492187500000000000e-01,-1.513861494178894063e+01
5.000000000000000000e-01,-1.511060107433454824e+01
5.507812500000000000e-01,-1.513349993719632813e+01
6.015625000000000000e-01,-1.513418252935422714e+01
6.484375000000000000e-01,-1.514423062685217580e+01
6.992187500000000000e-01,-1.514758257239502370e+01
7.500000000000000000e-01,-1.516099942807279710e+01
8.007812500000000000e-01,-1.516243365594418790e+01
8.515625000000000000e-01,-1.516233449011469325e+01
8.984375000000000000e-01,-1.517472543860795930e+01
9.492187500000000000e-01,-1.517795576460333251e+01
1.000000000000000000e+00,-1.517749913806066786e+01
